l_m,l_nm,lambda_hz,powerlaw_fit_hz,residual_log10,is_peak
1.661273e-08,16.6127,2.328896e+01,1.137776e+01,0.311093,0
1.684430e-08,16.8443,2.394275e+01,1.156272e+01,0.316114,0
1.707910e-08,17.0791,2.461490e+01,1.175069e+01,0.321135,0
1.731717e-08,17.3172,2.530592e+01,1.194172e+01,0.326155,0
1.755856e-08,17.5586,2.601634e+01,1.213585e+01,0.331176,0
1.780332e-08,17.8033,2.674671e+01,1.233314e+01,0.336197,0
1.805149e-08,18.0515,2.749757e+01,1.253363e+01,0.341218,0
1.830312e-08,18.3031,2.826952e+01,1.273738e+01,0.346238,0
1.855825e-08,18.5583,2.906313e+01,1.294445e+01,0.351259,0
1.881694e-08,18.8169,2.987903e+01,1.315488e+01,0.356280,0
1.907924e-08,19.0792,3.071783e+01,1.336873e+01,0.361300,0
1.934520e-08,19.3452,3.158018e+01,1.358606e+01,0.366321,0
1.961486e-08,19.6149,3.246674e+01,1.380692e+01,0.371342,0
1.988828e-08,19.8883,3.337818e+01,1.403137e+01,0.376363,0
2.016551e-08,20.1655,3.431522e+01,1.425947e+01,0.381383,0
2.044661e-08,20.4466,3.527855e+01,1.449128e+01,0.386404,0
2.073162e-08,20.7316,3.626894e+01,1.472686e+01,0.391425,0
2.102061e-08,21.0206,3.728712e+01,1.496626e+01,0.396445,0
2.131362e-08,21.3136,3.833389e+01,1.520956e+01,0.401466,0
2.161073e-08,21.6107,3.941005e+01,1.545682e+01,0.406487,0
2.191197e-08,21.9120,4.051642e+01,1.570809e+01,0.411508,0
2.221741e-08,22.2174,4.165384e+01,1.596345e+01,0.416528,0
2.252711e-08,22.5271,4.282320e+01,1.622296e+01,0.421549,0
2.284112e-08,22.8411,4.402539e+01,1.648668e+01,0.426570,0
2.315951e-08,23.1595,4.526132e+01,1.675470e+01,0.431591,0
2.348235e-08,23.4823,4.653195e+01,1.702707e+01,0.436611,0
2.380968e-08,23.8097,4.783825e+01,1.730387e+01,0.441632,0
2.414157e-08,24.1416,4.918123e+01,1.758517e+01,0.446653,0
2.447809e-08,24.4781,5.056190e+01,1.787105e+01,0.451673,0
2.481930e-08,24.8193,5.198134e+01,1.816157e+01,0.456694,0
2.516527e-08,25.1653,5.344062e+01,1.845681e+01,0.461715,0
2.551606e-08,25.5161,5.494087e+01,1.875685e+01,0.466736,0
2.587174e-08,25.8717,5.648324e+01,1.906177e+01,0.471756,0
2.623238e-08,26.2324,5.806891e+01,1.937165e+01,0.476777,0
2.659804e-08,26.5980,5.969909e+01,1.968656e+01,0.481798,0
2.696881e-08,26.9688,6.137503e+01,2.000660e+01,0.486819,0
2.734474e-08,27.3447,6.309803e+01,2.033183e+01,0.491839,0
2.772591e-08,27.7259,6.486939e+01,2.066236e+01,0.496860,0
2.811239e-08,28.1124,6.669049e+01,2.099825e+01,0.501881,0
2.850426e-08,28.5043,6.856270e+01,2.133961e+01,0.506901,0
2.890160e-08,28.9016,7.048748e+01,2.168652e+01,0.511922,0
2.930447e-08,29.3045,7.246629e+01,2.203907e+01,0.516943,0
2.971296e-08,29.7130,7.450065e+01,2.239734e+01,0.521964,0
3.012714e-08,30.1271,7.659213e+01,2.276144e+01,0.526984,0
3.054710e-08,30.5471,7.874232e+01,2.313147e+01,0.532005,0
3.097291e-08,30.9729,8.095287e+01,2.350750e+01,0.537026,0
3.140465e-08,31.4047,8.322547e+01,2.388965e+01,0.542046,0
3.184242e-08,31.8424,8.556188e+01,2.427801e+01,0.547067,0
3.228628e-08,32.2863,8.796388e+01,2.467269e+01,0.552088,0
3.273634e-08,32.7363,9.043331e+01,2.507378e+01,0.557109,0
3.319266e-08,33.1927,9.297206e+01,2.548139e+01,0.562129,0
3.365535e-08,33.6553,9.558209e+01,2.589563e+01,0.567150,0
3.412449e-08,34.1245,9.826539e+01,2.631660e+01,0.572171,0
3.460016e-08,34.6002,1.010240e+02,2.674441e+01,0.577192,0
3.508247e-08,35.0825,1.038601e+02,2.717918e+01,0.582212,0
3.557150e-08,35.5715,1.067758e+02,2.762102e+01,0.587233,0
